NtAcceptConnectPort,NtAccessCheck,NtAccessCheckAndAuditAlarm,NtAccessCheckByType,NtAddAtom,NtAdjustGroupsToken,NtAdjustPrivilegesToken,NtAlertThread,NtAllocateLocallyUniqueId,NtAllocateUuids,NtAllocateVirtualMemory,NtAlpcAcceptConnectPort,NtAlpcCreatePort,NtAlpcCreateResourceReserve,NtAlpcCreateSecurityContext,NtAlpcDeleteSectionView,NtAlpcSetInformation,NtApphelpCacheControl,NtAssignProcessToJobObject,NtCallbackReturn,NtCancelIoFile,NtCancelTimer,NtClearEvent,NtClose,NtCompareTokens,NtContinue,NtCreateDebugObject,NtCreateDirectoryObject,NtCreateEvent,NtCreateFile,NtCreateKey,NtCreateMailslotFile,NtCreateMutant,NtCreateNamedPipeFile,NtCreatePrivateNamespace,NtCreateSection,NtCreateSemaphore,NtCreateThreadEx,NtCreateTransaction,NtCreateUserProcess,NtDelayExecution,NtDeleteAtom,NtDeleteKey,NtDeleteValueKey,NtDeviceIoControlFile,NtDuplicateObject,NtDuplicateToken,NtEnumerateKey,NtEnumerateValueKey,NtFindAtom,NtFlushBuffersFile,NtFlushInstructionCache,NtFs,NtGetContextThread,NtGetNextThread,NtGetNlsSectionPtr,NtIsProcessInJob,NtLockFile,NtLockVirtualMemory,NtMapViewOfSection,NtNotifyChangeDirectoryFile,NtNotifyChangeKey,NtOpenDirectoryObject,NtOpenFile,NtOpenKey,NtOpenMutant,NtOpenProcess,NtOpenThread,NtPlugPlayControl,NtPowerInformation,NtPrivilegeCheck,NtPrivilegedServiceAuditAlarm,NtProtectVirtualMemory,NtQueryAttributesFile,NtQueryDebugFilterState,NtQueryDefaultLocale,NtQueryDirectoryFile,NtQueryEaFile,NtQueryFullAttributesFile,NtQueryInformationFile,NtQueryInformationJobObject,NtQueryInformationProcess,NtQueryInformationThread,NtQueryInformationToken,NtQueryMultipleValueKey,NtQueryPerformanceCounter,NtQuerySecurityAttributesToken,NtQuerySecurityObject,NtQuerySystemInformation,NtQueryTimerResolution,NtQueryVirtualMemory,NtQueryVolumeInformationFile,NtQueueApcThread,NtRaiseException,NtRaiseHardError,NtReadFile,NtReadVirtualMemory,NtReleaseMutant,NtReleaseSemaphore,NtRemoveIoCompletionEx,NtReplyPort,NtReplyWaitReceivePort,NtRequestPort,NtResetEvent,NtRollbackTransaction,NtSetContextThread,NtSetEvent,NtSetInformationFile,NtSetInformationObject,NtSetInformationProcess,NtSetSystemInformation,NtSetValueKey,NtSuspendThread,NtTestAlert,NtTraceEvent,NtWaitForSingleObject,NtWriteFile,NtYieldExecution,Digital Sign,PE32/PE64,BL Import,Import,Export,Resource,BL String,String,Label
0,1832,204,64,0,0,15,78,2,0,207,14,3,1,427,4,2,0,0,368,0,10,245,8989,32,30,0,0,3024,243,120,0,69,0,0,91,3,25,0,0,126,0,0,0,3186,63,24,158,0,12,31,0,90,0,0,0,0,0,0,108,0,3,15,322,3507,0,347,5697,768,295,1,0,234,100,0,1,47,0,0,6,0,1792,175,1207,0,110,48,0,1348,0,820,14,2,0,1,18,68,1719,3,2,0,4,20,0,0,0,1072,18,140,153,28,37,0,23,58,4263,85,86,0,0,49,212,0,47,0,2550,1
0,1710,105,44,0,2,19,88,0,0,194,20,2,0,280,5,0,0,0,195,0,20,197,7281,16,56,0,0,2844,415,63,0,23,0,0,59,44,53,0,0,112,0,13,0,2871,69,16,135,0,12,51,0,268,0,0,0,0,0,0,74,0,1,11,164,2208,0,157,3282,258,435,0,0,119,30,0,0,114,0,0,185,0,2055,270,430,0,28,16,0,1241,0,789,34,6,3,0,83,1,767,5,2,0,2,41,1,0,0,6576,136,288,185,1,53,0,50,1211,3892,200,50,0,0,70,128,1,4,0,1455,1
0,1647,62,50,2,2,20,78,0,0,307,31,3,2,251,6,4,0,0,120,0,21,144,7171,10,50,0,0,2748,333,61,0,18,0,0,70,29,56,0,0,78,0,13,11,2703,77,28,154,7,12,61,0,285,0,0,0,0,0,0,179,0,8,12,226,2488,8,326,2985,0,443,1,0,136,87,31,1,132,0,33,178,0,1972,298,584,0,79,2,9,1882,0,801,52,8,3,0,43,62,327,9,6,0,2,34,1,0,0,6416,86,344,198,1,69,0,63,121,3936,229,15,0,0,35,120,1,1,1,640,1
1,1697,54,33,0,1,19,84,0,0,392,24,4,0,240,4,0,2,0,413,0,24,586,9800,10,64,0,0,3026,691,50,0,199,0,0,60,22,54,0,0,424,0,13,0,2779,122,197,721,614,51,55,0,447,0,0,0,0,0,13,152,0,2,12,156,4212,1,930,3614,9,440,0,0,177,29,2,1,117,0,352,679,0,2333,699,473,0,1090,0,4,1412,0,802,546,18,3,0,75,1670,1169,47,6,4,12,37,0,0,0,7121,118,310,198,645,49,0,54,687,4433,210,16,0,0,70,222,12,50,0,5147,1
2,1985,143,66,7,4,27,91,2,1,628,37,2,1,298,6,3,10,0,3348,0,23,275,9700,20,72,0,2,3029,599,86,0,84,1,1,177,54,75,0,2,121,0,14,0,2885,138,93,662,302,72,63,22,397,0,2,0,0,1,0,285,0,2,18,437,3579,1,554,6663,387,442,1,0,352,203,64,17,345,0,154,392,1,2646,530,763,2,146,24,0,1327,0,876,201,6,3,0,144,1445,1171,18,4,8,32,48,1,0,0,6754,172,324,399,2,73,1,82,1233,4902,233,58,0,0,21,60,0,6,0,536,1
0,1605,53,30,0,2,16,76,0,0,169,19,2,0,240,6,0,0,0,82,0,20,142,6177,8,51,0,0,2623,290,39,0,8,0,0,33,20,48,0,0,78,0,13,0,2633,60,22,135,0,12,55,0,273,0,0,0,0,0,0,69,0,1,13,121,1762,0,137,2526,0,431,0,0,103,5,1,2,106,0,1,165,0,1903,240,257,0,24,0,0,1230,0,771,40,6,4,0,39,11,285,7,6,0,2,36,1,0,0,6379,85,300,177,1,49,0,47,106,3819,207,14,0,0,68,136,0,3,10,1418,1
3,1783,133,57,6,2,20,88,0,0,533,34,2,0,309,9,0,15,0,332,0,21,226,11115,20,56,0,0,3058,632,93,0,74,0,0,168,51,62,0,4,541,0,14,8,3165,120,51,656,100,18,55,0,356,0,0,0,0,0,0,278,1,3,23,449,5467,0,936,5741,391,440,1,0,385,183,64,7,398,0,46,355,0,2554,404,1186,0,177,26,8,1324,0,858,106,6,3,0,154,169,1063,14,12,6,212,38,1,0,0,6741,205,304,315,1,94,0,74,1279,4064,213,58,0,0,49,113,0,20,1,824,1
1,1598,54,34,7,2,16,75,0,0,702,25,2,0,228,5,0,13,0,336,0,22,399,15032,6,47,0,0,2764,440,555,0,19,0,0,345,25,50,0,1,83,0,14,257,2655,94,24,410,18,19,152,509,366,0,0,0,0,0,0,9672,0,252,15,307,4011,3,4841,2850,2,426,2,0,3222,102,62,6,340,0,69,306,0,61607,607,795,0,70,0,12,1509,0,935,71,6,7,0,116,123,295,21,4,3,10,32,1,0,0,7046,2949,648,59765,1,573,0,55,108,4066,3179,12,0,0,2,28,0,6,0,98,1
0,1968,60,392,2,2,366,80,0,0,1033,26,1,1,230,5,2,0,0,553,0,20,150,14071,8,56,0,0,2629,848,237,0,15,0,0,581,30,66,0,0,2528,0,13,3,2814,88,21,513,2,14,63,0,301,0,0,0,0,0,0,6870,0,9,12,1579,2186,7,1077,5531,0,425,1,0,166,97,31,1,5448,0,33,190,0,1949,1219,2158,2,56,0,6,1398,0,787,49,8,3,0,1058,22,1056,3,4,0,2,39,1,0,0,6478,88,344,209,1,82,0,79,104,4880,295,15,0,0,2,10,0,0,0,1000,1
0,1707,53,59,0,2,30,84,2,0,462,33,4,0,257,7,4,2,1,137,0,20,373,8061,15,55,0,0,2791,320,84,0,14,0,0,87,32,60,0,1,101,0,13,0,2679,100,40,137,5,12,55,0,324,0,0,0,0,0,0,132,0,4,14,210,3132,1,428,4568,0,444,2,0,209,83,0,7,130,0,1,174,0,2776,366,876,2,74,34,952,1272,0,797,43,6,3,0,127,116,297,7,6,0,2,33,1,0,0,6738,178,300,225,1,49,0,65,120,3901,207,16,0,0,0,1,0,1,0,795,1
6,1733,82,52,19,1,23,163,0,0,735,44,6,4,289,7,5,17,0,7133,0,27,354,11953,16,78,0,0,3184,651,303,0,58,0,0,205,36,76,0,2,264,0,14,7,3338,144,52,1670,307,31,63,20,411,0,0,0,0,0,13,310,1,53,14,398,6826,1,809,4108,28,416,2,1,329,240,93,13,436,0,46,319,0,2328,542,1121,2,763,0,42,1398,1,1096,78,12,3,0,411,145,879,11,10,9,40,46,0,0,0,6896,304,328,365,235,79,0,79,870,7070,282,17,0,0,30,155,0,7,2,365,1
10,1676,62,55,12,2,24,98,0,0,1159,64,3,2,247,13,4,33,0,324,0,22,252,10088,10,77,0,0,3199,527,102,0,79,10,0,311,40,82,0,10,87,0,14,7,3158,185,116,186,404,20,60,0,358,0,0,0,0,0,0,640,0,19,50,590,3764,8,823,3249,0,413,1,0,790,315,82,27,914,0,34,400,0,2574,731,921,0,302,2,9,2003,0,977,162,8,3,0,89,583,480,20,22,15,100,46,1,0,0,6614,129,358,356,1,85,0,110,200,4261,255,14,0,0,35,118,0,1,0,619,1
3,1831,64,44,7,4,25,95,2,1,615,34,3,1,239,6,3,10,0,3270,0,23,233,8308,8,65,0,2,2888,475,53,0,54,1,1,135,28,68,0,2,81,0,14,0,2669,132,91,660,302,73,63,22,405,0,2,0,0,1,0,256,0,2,18,368,2873,1,498,5626,0,444,1,0,270,165,95,18,330,0,154,395,1,2469,523,510,2,108,0,0,1306,0,863,228,6,3,0,87,1616,451,16,4,8,36,41,1,0,0,6620,109,324,391,2,66,1,75,105,4885,233,20,0,0,23,55,0,2,0,490,1
2,1745,132,46,8,2,19,79,0,0,319,22,2,0,290,7,0,10,0,252,0,20,213,7913,18,57,0,0,2737,444,78,0,45,0,0,124,52,53,0,1,113,0,14,0,2737,90,38,139,4,12,55,0,285,0,0,0,0,0,0,179,0,4,16,266,2646,0,270,3514,387,440,0,0,351,98,0,3,277,0,32,248,0,2282,281,558,0,104,24,0,1279,1,809,56,6,3,1,85,250,1024,7,10,6,22,41,1,0,0,6632,135,300,212,1,72,0,53,1256,3950,210,51,0,0,37,102,4,0,0,1288,1
1,2073,175,69,5,4,29,112,2,1,604,36,2,1,347,6,3,10,0,6519,0,23,282,10017,46,70,0,2,3311,527,108,0,55,1,1,172,52,73,0,2,129,0,15,0,3185,139,44,625,166,1262,63,22,358,0,2,0,0,1,0,256,0,2,18,463,3691,0,368,5223,516,441,1,0,338,207,93,16,342,0,130,281,1,2598,397,852,2,2637,32,0,1334,0,854,96,6,3,0,133,891,1328,10,6,30,64,48,1,0,0,6957,159,328,401,2,77,1,80,1252,4958,236,68,0,0,2,6,0,1,0,437,1
1,1805,57,41,5,3,19,99,0,1,437,29,2,0,239,6,2,8,0,6648,0,22,224,7801,6,60,0,1,2805,563,53,0,50,1,0,100,25,64,0,1,91,0,14,0,2962,107,74,656,126,1229,58,22,427,0,2,0,0,1,0,187,0,2,15,324,2523,0,397,3443,0,408,1,0,177,138,93,6,324,0,154,463,0,2228,603,427,2,2496,0,0,1261,0,873,300,6,3,0,92,863,473,20,4,30,64,41,1,0,0,6550,114,292,370,1,67,1,68,105,4827,279,27,0,0,5,12,0,0,6,3527,1
2,2605,142,694,16,2,511,120,0,0,810,34,3,0,414,5,2,2,0,4187,0,20,242,14309,22,63,0,0,3013,553,142,0,631,0,0,167,58,103,0,1,831,0,13,0,3253,125,50,539,145,1179,56,72,318,0,0,0,0,2,0,857,0,12,24,403,3595,3,2037,14574,259,414,1,0,506,139,62,72,426,0,73,256,0,2502,1262,4505,0,2324,16,0,1294,0,726,83,6,104,0,170,61,1630,12,6,34,74,45,1,0,0,6828,169,308,327,1,167,0,147,1242,5614,228,64,0,0,15,290,0,21,1,1640,1
